frame_nmr,car_id,car_bbox,license_plate_bbox,license_plate_bbox_score,license_number,license_number_score
283,1,2047.3408559072586 1236.9859147660868 2624.827894541395 1726.9995304472181,2252.186279296875 1525.2213134765625 2476.4423828125 1624.040771484375,0,0,0
284,1,2045.593730111719 1238.4550948965561 2625.3268537049594 1730.4869221393617,2248.5823567708335 1525.721435546875 2480.2415364583335 1626.92333984375,0,0,0
285,1,2043.846604316179 1239.9242750270255 2625.8258128685243 1733.974313831505,2244.9784342447915 1526.2215576171875 2484.0406901041665 1629.805908203125,0,0,0
286,1,2042.0994785206394 1241.3934551574948 2626.3247720320887 1737.4617055236486,2241.37451171875 1526.7216796875 2487.83984375 1632.6884765625,0.47225794196128845,AP05JEO,0.46765397424139366
287,1,2045.5785611600118 1243.098454864967 2630.50962661325 1741.8629123784601,2217.51171875 1533.6884765625 2499.619384765625 1642.406982421875,0.35826796293258667,AP05JEO,0.5444003204249914
288,1,2046.1673681709665 1245.5020627968263 2632.7146561557583 1745.232330605776,2231.920654296875 1537.4475911458333 2490.6766764322915 1641.8135579427083,0,0,0
289,1,2046.756175181921 1247.905670728686 2634.919685698266 1748.601748833092,2246.32958984375 1541.2067057291667 2481.7339680989585 1641.2201334635417,0,0,0
290,1,2047.3449821928757 1250.3092786605453 2637.1247152407745 1751.9711670604079,2260.738525390625 1544.9658203125 2472.791259765625 1640.626708984375,0.341413289308548,AP05JEO,0.8758946779194552
291,1,2047.559071065673 1253.2340788424274 2638.9360597518894 1755.815750196701,2247.1513671875 1542.566162109375 2485.275146484375 1654.976806640625,0.4446224272251129,AP05JEO,0.3624339091168992
292,1,2047.3991329316111 1257.3887604008785 2639.6860749629636 1760.075471989054,2243.899658203125 1540.4468994140625 2485.322021484375 1658.2393798828125,0.39430275559425354,AP05JEO,0.26017911457329723
293,1,2049.6010765485403 1258.2438026222035 2640.1281038456877 1762.681082868703,2254.254638671875 1551.0830078125 2486.3173828125 1657.295166015625,0.2501789331436157,AP05JED,0.10382269855785377
294,1,2049.512383103325 1260.3122989523144 2640.2396029725223 1766.2562394847996,2265.375 1552.0029296875 2478.607177734375 1647.94970703125,0.3352995216846466,AP05JED,0.2894604368182369
295,1,2049.4125364324045 1260.727077549984 2640.3633984114513 1767.8033996009246,2265.36376953125 1552.032470703125 2478.8095703125 1647.998779296875,0.3349423408508301,AP05JED,0.2894604368182369
296,1,2047.2521588028317 1263.0352614990088 2640.9208527613796 1770.7365107277556,2228.755859375 1556.321044921875 2501.95166015625 1666.06201171875,0.26371657848358154,AP05JEO,0.5674943166250463
297,1,2048.198726178377 1265.3510013405655 2644.9324053807013 1774.011318437788,2242.55712890625 1564.60107421875 2489.85546875 1665.0693969726562,0,0,0
298,1,2049.145293553923 1267.6667411821222 2648.9439580000226 1777.2861261478206,2256.3583984375 1572.881103515625 2477.75927734375 1664.0767822265625,0.31192076206207275,AP05JEO,0.3634316217706097
299,1,2048.4625320224923 1269.6661880660708 2650.054521094923 1780.000749163629,2252.481863839286 1573.3412214006696 2481.0855887276784 1667.7114780970983,0,0,0
300,1,2047.7797704910618 1271.6656349500192 2651.1650841898236 1782.7153721794375,2248.6053292410716 1573.8013392857142 2484.4119001116073 1671.3461739676338,0,0,0
301,1,2047.0970089596312 1273.6650818339679 2652.275647284724 1785.429995195246,2244.7287946428573 1574.2614571707588 2487.738211495536 1674.9808698381696,0,0,0
302,1,2046.4142474282005 1275.6645287179165 2653.386210379624 1788.1446182110542,2240.8522600446427 1574.7215750558037 2491.064522879464 1678.6155657087054,0,0,0
303,1,2045.73148589677 1277.663975601865 2654.4967734745246 1790.8592412268627,2236.9757254464284 1575.1816929408483 2494.3908342633927 1682.2502615792412,0,0,0
304,1,2045.0487243653395 1279.6634224858135 2655.607336569425 1793.573864242671,2233.099190848214 1575.641810825893 2497.7171456473216 1685.8849574497767,0,0,0
305,1,2044.365962833909 1281.6628693697621 2656.7178996643256 1796.2884872584796,2229.22265625 1576.1019287109375 2501.04345703125 1689.5196533203125,0.2866686284542084,AP05JEO,0.7989265781075854
306,1,2045.2172733170887 1284.4019941448157 2658.1021678152797 1800.0656261008664,2249.6845703125 1586.061767578125 2486.890380859375 1696.346923828125,0.5863801836967468,AP05JEO,0.682205547977927
