frame_nmr,car_id,car_bbox,license_plate_bbox,license_plate_bbox_score,license_number,license_number_score
101,5.0,[2233.030237756543 1405.4611082084436 2944.657093416454 2099.2964527066306],[2493.169921875 1877.4970703125 2670.77392578125 1977.4208984375],0.28590837121009827,NV51VSU,0.15510865210105382
113,5.0,[2236.9218741371315 1447.9233390399859 2956.2857923830434 2142.1420898055867],[2525.372802734375 1931.073486328125 2696.34033203125 2027.401611328125],0.3293130695819855,IT51VSU,0.16004801239883687
123,5.0,[2246.269539050758 1474.8085147680208 2954.6268659833986 2145.812819711924],[2524.71044921875 1965.29052734375 2703.9736328125 2067.742431640625],0.41503313183784485,MT51VSU,0.17823033694128088
128,6.0,[1078.4376588986993 1231.5410953907237 1695.9231506092938 1715.7539034007539],[1301.58984375 1525.30078125 1456.553466796875 1612.0140380859375],0.29727983474731445,GX15OGJ,0.16885361244461547
134,5.0,[2259.1194397964114 1505.8705815259968 2973.098479360831 2147.0092758217315],[2519.82763671875 2016.620849609375 2726.97265625 2121.850830078125],0.5292884707450867,MV51VSU,0.25677286976870145
140,5.0,[2267.676631694914 1530.9616834392743 2983.3730701342915 2149.0323455168495],[2538.55224609375 2046.2647705078125 2721.491455078125 2135.5205078125],0.3762255609035492,MV51NSV,0.1961443273778523
142,6.0,[1059.4995481248898 1259.0522393637175 1688.2573990354913 1756.0833094363534],[1280.139404296875 1561.425537109375 1459.8629150390625 1648.652587890625],0.3215430974960327,GX15OGJ,0.3099625377103511
144,6.0,[1053.581446421516 1262.7531457334326 1682.0035003497146 1760.9807009561246],[1300.35791015625 1564.4208984375 1451.64990234375 1657.664794921875],0.4163425862789154,GX15OGJ,0.3231256293157191
145,6.0,[1052.4004963360753 1262.9945839273305 1681.975356820643 1762.7652426556597],[1300.424560546875 1564.391357421875 1451.6473388671875 1657.66748046875],0.4160313904285431,GX15OGJ,0.3231256293157191
146,6.0,[1051.1544970844784 1265.5201279919931 1682.1987078132192 1766.0243791117462],[1296.45263671875 1573.618896484375 1451.3243408203125 1665.51953125],0.4674590229988098,GX15OGJ,0.5367913893138498
147,6.0,[1050.7539067857024 1267.938998155622 1682.6987475243832 1768.7198566821785],[1284.8369140625 1571.1412353515625 1449.8785400390625 1666.2410888671875],0.3143293857574463,GX15OGJ,0.5366027948607798
156,6.0,[1038.7034306344965 1287.1211630380683 1684.68987613399 1801.2656345411121],[1284.0574951171875 1590.985107421875 1441.9149169921875 1698.486328125],0.2806853950023651,GX15OGJ,0.6867269545577924
157,6.0,[1037.2032938783111 1287.101427754937 1681.9678380636035 1802.899695739045],[1284.123291015625 1591.160888671875 1441.8594970703125 1698.454833984375],0.28215891122817993,GX15OGJ,0.3301549070565588
164,6.0,[1013.6461775033785 1307.9568300602455 1677.7702495742092 1825.8138701147182],[1257.643310546875 1624.3359375 1446.121337890625 1717.5384521484375],0.41312646865844727,GX15OGJ,0.5149815886390752
165,6.0,[1015.4396191618537 1312.538405945497 1679.1757354900649 1831.7689179511929],[1243.448486328125 1625.173828125 1446.17333984375 1720.79150390625],0.5184090733528137,GX15OGJ,0.276536210932352
167,6.0,[1016.7752432642708 1321.1541812950836 1682.9992140620886 1843.4561676957674],[1279.7164306640625 1639.0997314453125 1435.7947998046875 1733.2137451171875],0.3218936622142792,GX15OCJ,0.4660531282268757
177,6.0,[994.888627785982 1336.4843428101208 1687.640031814772 1876.2138237678396],[1234.7889404296875 1674.352294921875 1415.716552734375 1762.7310791015625],0.26964476704597473,GX15OGJ,0.2866824357500415
178,6.0,[994.9195886503257 1338.9312319489634 1688.5229100459164 1877.4290747999546],[1251.7811279296875 1674.5101318359375 1432.5604248046875 1767.2589111328125],0.42838212847709656,GX15OGJ,0.4516105442300095
179,6.0,[995.0200309176405 1341.9747456306281 1687.7935814494615 1880.481057094396],[1236.150390625 1674.1981201171875 1434.081787109375 1765.2945556640625],0.46358010172843933,GX15OGJ,0.3335436593954652
185,6.0,[983.831949534394 1362.9832328297523 1686.796740602747 1902.5289450570615],[1229.2869873046875 1698.36181640625 1427.8721923828125 1791.136962890625],0.34794551134109497,CX15OCJ,0.17860178679673358
